Artigo,Disposição Específica (verbatim EN),@codigo,@rgbeac,DL 82/2019,Lei 27/2016,Se NÃO EXISTE: Análise
Art. 5,Max 2 litters per calendar year exemption,SIM,SIM,NÃO,NÃO,
Art. 5,Max 15 animals for shelter exemption,SIM,SIM,SIM,SIM,
Art. 6,Water and feed quality and quantity,SIM,SIM,NÃO,NÃO,
Art. 6,Secure and comfortable environment,SIM,SIM,NÃO,SIM,
Art. 7,Operator responsibility welfare,SIM,SIM,SIM,NÃO,
Art. 7,Sufficient number animal carers,SIM,SIM,NÃO,SIM,
Art. 7,Monitoring and recording welfare,SIM,SIM,NÃO,SIM,
Art. 8,Breeding strategies genetic health,NÃO,NÃO,NÃO,NÃO,AUSENTE EM LEGISLAÇÃO VIGENTE: DL82 não menciona 'breeding strategies' específicas; Código Animal propõe
Art. 8,Excessive conformational traits,SIM,SIM,NÃO,NÃO,
Art. 8,Prohibited genetic technologies,NÃO,NÃO,NÃO,NÃO,AUSENTE: Legislação PT não contempla proibições de técnicas genéticas específicas
Art. 9,Notify competent authorities breeding,SIM,SIM,SIM,NÃO,
Art. 9,Register of establishments,SIM,SIM,SIM,NÃO,
Art. 10,Approval breeding >5 litters,SIM,SIM,SIM,NÃO,
Art. 10,On-site inspections compliance,SIM,SIM,NÃO,NÃO,
Art. 10,Public list approved breeding,SIM,SIM,NÃO,NÃO,
Art. 18,Mutilation medical justification only,SIM,NÃO,NÃO,NÃO,
Art. 18,Ear cropping/tail docking prohibited,SIM,SIM,NÃO,NÃO,
Art. 18,Vocal cord resection prohibited,NÃO,NÃO,NÃO,NÃO,AUSENTE COMPLETAMENTE: Nenhum documento PT menciona 'resection of vocal cords'
Art. 18,Anaesthesia/analgesia requirement,NÃO,NÃO,NÃO,NÃO,AUSENTE: Legislação PT não exige especificamente anestesia para procedimentos
Art. 18,Aesthetic mutilations prohibited,NÃO,NÃO,NÃO,NÃO,AUSENTE: Legislação PT não proíbe explicitamente 'mutilações estéticas'
Art. 20,Microchip mandatory identification,SIM,NÃO,NÃO,NÃO,
Art. 20,Annex II technical requirements,NÃO,NÃO,NÃO,NÃO,AUSENTE: Legislação PT não refere normas técnicas de microchip específicas
Art. 20,3 months of birth deadline,SIM,NÃO,NÃO,NÃO,
Art. 21,Online advertising warning required,SIM,SIM,NÃO,NÃO,
Art. 21,Specific warning content,NÃO,SIM,NÃO,NÃO,
